trialIndex,stimFile,opt1,opt2,opt3,opt4,corrAns,group
84,italy_st_marks_square,義大利,印度,阿根廷,摩洛哥,義大利,B
86,jordan_petra,約旦,埃及,希臘,祕魯,約旦,B
89,malaysia_petronas_towers,馬來西亞,美國,法國,澳洲,馬來西亞,B
90,mali_great_mosque_of_djenne,馬利,伊朗,西班牙,阿根廷,馬利,B
91,mexico_chichen_itza,墨西哥,柬埔寨,埃及,希臘,墨西哥,B
92,morocco_marrakech_souk,摩洛哥,伊朗,西班牙,巴西,摩洛哥,B
93,moroque_hassan_mosque,摩洛哥,伊朗,西班牙,阿根廷,摩洛哥,B
94,myanmar_dabinyu_pagoda,緬甸,摩洛哥,法國,巴西,緬甸,B
97,peru_machu_picchu,祕魯,柬埔寨,衣索比亞,希臘,祕魯,B
98,phillipines_banauerice_terraces,菲律賓,衣索比亞,法國,巴西,菲律賓,B
100,russia_lake_baikal,俄羅斯,中國,加拿大,紐西蘭,俄羅斯,B
101,russia_moscow,俄羅斯,中國,美國,南非,俄羅斯,B
103,saintpeter,梵蒂岡,印度,巴西,摩洛哥,梵蒂岡,B
104,southafrica_table_mountain,南非,澳洲,巴西,挪威,南非,B
105,spain_alhambra,西班牙,伊朗,摩洛哥,巴西,西班牙,B
106,spain_plaza_de_espana,西班牙,印度,阿根廷,摩洛哥,西班牙,B
110,switzerland_st_peters_basilica,瑞士,日本,阿根廷,南非,瑞士,B
112,turkey_blue_mosque,土耳其,摩洛哥,西班牙,巴西,土耳其,B
113,turkey_cappadocia,土耳其,衣索比亞,希臘,智利,土耳其,B
116,us_beverly_hills,美國,英國,澳洲,日本,美國,B
118,us_yellowstone,美國,冰島,紐西蘭,日本,美國,B
119,utzubek_registan_square,烏茲別克,摩洛哥,西班牙,巴西,烏茲別克,B
120,vatican_st_peters_basilica,梵蒂岡,印度,巴西,摩洛哥,梵蒂岡,B
121,vietnam_halongbay,越南,埃及,挪威,巴西,越南,B
123,zimbabwe_great_zimbabwe,辛巴威,柬埔寨,希臘,祕魯,辛巴威,B
